paragraph,id,count,em,nll
">
</TR>
</TABLE>
&nbsp;<A NAME=""methods_inherited_from_class_java.lang.Object""><!-- --></A>
<TABLE BORDER=""1"" WIDTH=""100%"" CELLPADDING=""3"" CELLSPACING=""0"" SUMMARY="""">
<TR BGCOLOR=""#EEEEFF"" CLASS=""TableSubHeadingColor"">
<TH ALIGN",12432,4151,50.0,0.184
"ETAIL ======== -->

<A NAME=""constructor_detail""><!-- --></A>
<TABLE BORDER=""1"" WIDTH=""100%"" CELLPADDING=""3"" CELLSPACING=""0"" SUMMARY="""">
<TR BGCOLOR=""#CCCCFF"" CLASS=""TableHeadingColor"">
<TH ALIGN=""left"" COLSPAN=""1""><FONT SIZE=""+2"">
<",12433,3858,50.0,0.442
"nbsp;<A NAME=""methods_inherited_from_class_java.lang.Object""><!-- --></A>
<TABLE BORDER=""1"" WIDTH=""100%"" CELLPADDING=""3"" CELLSPACING=""0"" SUMMARY="""">
<TR BGCOLOR=""#EEEEFF"" CLASS=""TableSubHeadingColor"">
<TH ALIGN=""left""><B>Methods inherited from class java.",12451,4061,50.0,0.315
"�^−3^
  ------------------------------------- -------------------------------------------------------------------------------------------------

Special details {#specialdetails}
===============

  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Geometry. All e.s.d.\'s (except the e.s.d. in the dihedral angle between two l.s. planes) are estimated using the full covariance matrix. The cell e.s.d.\'s are taken into account individually in the estimation of",12457,7181,50.0,0.833
"Privacy & Cookies Policy

Privacy Overview

This website uses cookies to improve your experience while you navigate through the website. Out of these cookies, the cookies that are categorized as necessary are stored on your browser as they are essential for the working of basic functionalities of the website. We also use third-party cookies that help us analyze and understand how you use this website. These cookies will be stored in your browser only with your consent. You also have the option to opt-out of these",12472,3541,50.0,0.329
"=== CONSTRUCTOR SUMMARY ======== -->
<ul class=""blockList"">
<li class=""blockList""><a name=""constructor_summary"">
<!--   -->
</a>
<h3>Constructor Summary</h3>
<table class=""overviewSummary"" border=""0"" cellpadding=""3"" cellspacing=""0"" summary=""Constructor Summary table, listing constructors, and an explanation"">
<caption><",12479,4570,50.0,0.427
" or course of action. Med Help International, Inc. is not a medical or healthcare provider and your use of this Site does not create a doctor / patient relationship. We disclaim all responsibility for the professional qualifications and licensing of, and services provided by, any physician or other health providers posting on or otherwise referred to on this Site and/or any Third Party Site. Never disregard the medical advice of your physician or health professional, or delay in seeking such advice, because of something you read on this Site",12480,4123,50.0,1.118
"MARY ======== -->
<ul class=""blockList"">
<li class=""blockList""><a name=""constructor_summary"">
<!--   -->
</a>
<h3>Constructor Summary</h3>
<table class=""overviewSummary"" border=""0"" cellpadding=""3"" cellspacing=""0"" summary=""Constructor Summary table, listing constructors, and an explanation"">
<caption><span>Constructors</",12482,4570,50.0,0.412
"Report author of article

DISCLAIMER

This article has been written by a member of the GiveMeSport Writing Academy and does not represent the views of
GiveMeSport.com or SportsNewMedia. The views and opinions expressed are solely that of the author credited at the top of this article.
GiveMeSport.com and SportsNewMedia do not take any responsibility for the content of its contributors.

Want more content like this?

Like our GiveMeSport",12486,4459,50.0,0.583
". Med Help International, Inc. is not a medical or healthcare provider and your use of this Site does not create a doctor / patient relationship. We disclaim all responsibility for the professional qualifications and licensing of, and services provided by, any physician or other health providers posting on or otherwise referred to on this Site and/or any Third Party Site. Never disregard the medical advice of your physician or health professional, or delay in seeking such advice, because of something you read on this Site. We offer this",12487,4123,50.0,1.027
"
<li class=""blockList""><a name=""constructor_summary"">
<!--   -->
</a>
<h3>Constructor Summary</h3>
<table class=""overviewSummary"" border=""0"" cellpadding=""3"" cellspacing=""0"" summary=""Constructor Summary table, listing constructors, and an explanation"">
<caption><span>Constructors</span><span class=""tabEnd"">&nbsp;</",12500,4570,50.0,0.227
" provider, procedure, treatment plan, product, or course of action. Med Help International, Inc. is not a medical or healthcare provider and your use of this Site does not create a doctor / patient relationship. We disclaim all responsibility for the professional qualifications and licensing of, and services provided by, any physician or other health providers posting on or otherwise referred to on this Site and/or any Third Party Site. Never disregard the medical advice of your physician or health professional, or delay in seeking such advice",12504,4123,50.0,1.327
". If you encounter a comment that is abusive, click the ""X"" in the upper right corner of the comment box to report spam or abuse. We are using Facebook commenting. Visit our FAQ page for more information.

Almost Done!

Postmedia wants to improve your reading experience as well as share the best deals and promotions from our advertisers with you. The information below will be used to optimize the content and make ads across the network more relevant to you. You can always change the",12515,4358,50.0,0.599
" of reflections for refinement. *R*-factors based on *F*^2^ are statistically about twice as large as those based on *F*, and *R*- factors based on ALL data will be even larger.
  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Fractional atomic coordinates and isotropic or equivalent isotropic displacement parameters (Å^2^) {#tablewrapcoords}
==================================================================================================

  ------ --------------",12516,8651,50.0,0.629
" corner of the comment box to report spam or abuse. We are using Facebook commenting. Visit our FAQ page for more information.

Almost Done!

Postmedia wants to improve your reading experience as well as share the best deals and promotions from our advertisers with you. The information below will be used to optimize the content and make ads across the network more relevant to you. You can always change the information you share with us by editing your profile.

By clicking ""Create Account"", I",12523,4358,50.0,0.756
"
</TR>
</TABLE>
&nbsp;
<!-- ========== METHOD SUMMARY =========== -->

<A NAME=""method_summary""><!-- --></A>
<TABLE BORDER=""1"" WIDTH=""100%"" CELLPADDING=""3"" CELLSPACING=""0"" SUMMARY="""">
<TR BGCOLOR=""#CCCCFF"" CLASS=""TableHeadingColor"">
<",12538,4586,50.0,0.24
" all readers to share their views on our articles and blog posts. We are committed to maintaining a lively but civil forum for discussion, so we ask you to avoid personal attacks, and please keep your comments relevant and respectful. If you encounter a comment that is abusive, click the ""X"" in the upper right corner of the comment box to report spam or abuse. We are using Facebook commenting. Visit our FAQ page for more information.

Almost Done!

Postmedia wants to improve your",12548,4358,50.0,0.65
", treatment plan, product, or course of action. Med Help International, Inc. is not a medical or healthcare provider and your use of this Site does not create a doctor / patient relationship. We disclaim all responsibility for the professional qualifications and licensing of, and services provided by, any physician or other health providers posting on or otherwise referred to on this Site and/or any Third Party Site. Never disregard the medical advice of your physician or health professional, or delay in seeking such advice, because of",12552,4123,50.0,1.3
"BILITY AND FITNESS. IN NO EVENT SHALL THE AUTHOR BE LIABLE FOR
 * ANY SPECIAL, DIRECT, INDIRECT, OR CONSEQUENTIAL DAMAGES OR ANY DAMAGES
 * WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR PROFITS, WHETHER IN AN
 * ACTION OF CONTRACT, NEGLIGENCE OR OTHER TORTIOUS ACTION, ARISING OUT OF
 * OR IN CONNECTION WITH THE USE OR",12559,8650,50.0,0.284
"!-- ============ METHOD DETAIL ========== -->

<A NAME=""method_detail""><!-- --></A>
<TABLE BORDER=""1"" WIDTH=""100%"" CELLPADDING=""3"" CELLSPACING=""0"" SUMMARY="""">
<TR BGCOLOR=""#CCCCFF"" CLASS=""TableHeadingColor"">
<TH ALIGN=""left"" COLSPAN=""1""><FONT S",12560,4645,50.0,0.267
" International, Inc. is not a medical or healthcare provider and your use of this Site does not create a doctor / patient relationship. We disclaim all responsibility for the professional qualifications and licensing of, and services provided by, any physician or other health providers posting on or otherwise referred to on this Site and/or any Third Party Site. Never disregard the medical advice of your physician or health professional, or delay in seeking such advice, because of something you read on this Site. We offer this Site AS IS",12562,4123,50.0,0.901
"
 * | |_| | | | |/ /^\ \ 
 *  \___/\_| |_/\/   \/ 
 * 
 * This file was autogenerated by UnrealHxGenerator using UHT definitions.
 * It only includes UPROPERTYs and UFUNCTIONs. Do not modify it!
 * In order to add more definitions, create or edit a type with the same name/package,",12567,5864,50.0,1.222
"
&nbsp;
<!-- ========== METHOD SUMMARY =========== -->

<A NAME=""method_summary""><!-- --></A>
<TABLE BORDER=""1"" WIDTH=""100%"" CELLPADDING=""3"" CELLSPACING=""0"" SUMMARY="""">
<TR BGCOLOR=""#CCCCFF"" CLASS=""TableHeadingColor"">
<TH ALIGN=""left"" COLSP",12574,4290,50.0,0.341
" your browser only with your consent. You also have the option to opt-out of these cookies. But opting out of some of these cookies may have an effect on your browsing experience.

Necessary cookies are absolutely essential for the website to function properly. This category only includes cookies that ensures basic functionalities and security features of the website. These cookies do not store any personal information.

Any cookies that may not be particularly necessary for the website to function and is used specifically to",12578,5086,50.0,0.814
"User Name:

Password

Please enter a password for your user account. Note that passwords are case-sensitive.

Password:

Confirm Password:

Email Address

Please enter a valid email address for yourself.

Email Address:

OR

Log-in

User Name

Password

Remember Me?

Human Verification

In order to verify that you are a human and not a spam bot, please enter the",12581,5245,50.0,0.338
" not a medical or healthcare provider and your use of this Site does not create a doctor / patient relationship. We disclaim all responsibility for the professional qualifications and licensing of, and services provided by, any physician or other health providers posting on or otherwise referred to on this Site and/or any Third Party Site. Never disregard the medical advice of your physician or health professional, or delay in seeking such advice, because of something you read on this Site. We offer this Site AS IS and without any warranties.",12582,5054,50.0,0.917
"blockList"">
<li class=""blockList""><a name=""method_summary"">
<!--   -->
</a>
<h3>Method Summary</h3>
<table class=""overviewSummary"" border=""0"" cellpadding=""3"" cellspacing=""0"" summary=""Method Summary table, listing methods, and an explanation"">
<caption><span>Methods</span><span class=""tabEnd"">&nbsp;</span></",12602,5814,50.0,0.211
"table class=""overviewSummary"" border=""0"" cellpadding=""3"" cellspacing=""0"" summary=""Method Summary table, listing methods, and an explanation"">
<caption><span>Methods</span><span class=""tabEnd"">&nbsp;</span></caption>
<tr>
<th class=""colFirst"" scope=""col"">Modifier and Type</th>
<th class=""colLast"" scope=""col"">Method and Description",12606,5814,50.0,0.458
" and understand how you use this website. These cookies will be stored in your browser only with your consent. You also have the option to opt-out of these cookies. But opting out of some of these cookies may have an effect on your browsing experience.

Necessary cookies are absolutely essential for the website to function properly. This category only includes cookies that ensures basic functionalities and security features of the website. These cookies do not store any personal information.

Any cookies that may",12607,5087,50.0,0.715
""">
<li class=""blockList""><a name=""method_summary"">
<!--   -->
</a>
<h3>Method Summary</h3>
<table class=""overviewSummary"" border=""0"" cellpadding=""3"" cellspacing=""0"" summary=""Method Summary table, listing methods, and an explanation"">
<caption><span>Methods</span><span class=""tabEnd"">&nbsp;</span></caption",12617,5814,50.0,0.176
" with your consent. You also have the option to opt-out of these cookies. But opting out of some of these cookies may have an effect on your browsing experience.

Necessary cookies are absolutely essential for the website to function properly. This category only includes cookies that ensures basic functionalities and security features of the website. These cookies do not store any personal information.

Any cookies that may not be particularly necessary for the website to function and is used specifically to collect user personal",12618,5086,50.0,0.716
"ANG_WARN_SUSPICIOUS_MOVE = YES;
				CLANG_WARN_UNREACHABLE_CODE = YES;
				CLANG_WARN__DUPLICATE_METHOD_MATCH = YES;
				""CODE_SIGN_IDENTITY[sdk=iphoneos*]"" = ""iPhone Developer"";
				COPY_PHASE_STRIP =",12627,5142,50.0,0.463
" SUMMARY =========== -->

<A NAME=""method_summary""><!-- --></A>
<TABLE BORDER=""1"" WIDTH=""100%"" CELLPADDING=""3"" CELLSPACING=""0"" SUMMARY="""">
<TR BGCOLOR=""#CCCCFF"" CLASS=""TableHeadingColor"">
<TH ALIGN=""left"" COLSPAN=""2""><FONT SIZE=""+2"">
",12632,5089,50.0,0.416
" -->

<A NAME=""method_summary""><!-- --></A>
<TABLE BORDER=""1"" WIDTH=""100%"" CELLPADDING=""3"" CELLSPACING=""0"" SUMMARY="""">
<TR BGCOLOR=""#CCCCFF"" CLASS=""TableHeadingColor"">
<TH ALIGN=""left"" COLSPAN=""2""><FONT SIZE=""+2"">
<B>Method Summary</",12651,4975,50.0,0.226
"=""blockList""><a name=""method_summary"">
<!--   -->
</a>
<h3>Method Summary</h3>
<table class=""overviewSummary"" border=""0"" cellpadding=""3"" cellspacing=""0"" summary=""Method Summary table, listing methods, and an explanation"">
<caption><span>Methods</span><span class=""tabEnd"">&nbsp;</span></caption>
<tr>",12656,5814,50.0,0.287
"0"" encoding=""UTF-8""?>
<!DOCTYPE plist PUBLIC ""-//Apple//DTD PLIST 1.0//EN"" ""http://www.apple.com/DTDs/PropertyList-1.0.dtd"">
<plist version=""1.0"">
<dict>
	<key>CFBundleDevelopmentRegion</key>
	<string>en</string>
	<key>CFBundle",12657,11472,50.0,0.241
"ETHOD SUMMARY =========== -->
<ul class=""blockList"">
<li class=""blockList""><a name=""method_summary"">
<!--   -->
</a>
<h3>Method Summary</h3>
<table class=""overviewSummary"" border=""0"" cellpadding=""3"" cellspacing=""0"" summary=""Method Summary table, listing methods, and an explanation"">
<caption><span>Methods</span><",12661,5814,50.0,0.403
"
For Search feature please
to enable JavaScript or to put this site in Trusted Sites zone
in your browser

Parents please
protect your kids from accessing porn by simply using your browser's
surfing preferences.
All models appearing on this site are 18 years or older.
For 2257 related inquiries please contact each gallery site owner
individually.
We do not produce pornographic content ourselves. Reproduction of
our site design, as well as part or totality of our links",12677,6051,50.0,0.621
"

Get The Brief. Sign up to receive the top stories you need to know right now. Please enter a valid email address. Sign Up Now Check the box if you do not wish to receive promotional offers via email from TIME. You can unsubscribe at any time. By signing up you are agreeing to our Terms of Use and Privacy Policy . This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply. Thank you! For your security, we've sent",12683,12063,50.0,0.203
" you to use our commenting platform to engage in insightful conversations about issues in our community. Although we do not pre-screen comments, we reserve the right at all times to remove any information or materials that are unlawful, threatening, abusive, libelous, defamatory, obscene, vulgar, pornographic, profane, indecent or otherwise objectionable to us, and to disclose any information necessary to satisfy the law, regulation, or government request. We might permanently block any user who abuses these conditions.

",12687,6532,50.0,0.604
" know right now. Please enter a valid email address. Sign Up Now Check the box if you do not wish to receive promotional offers via email from TIME. You can unsubscribe at any time. By signing up you are agreeing to our Terms of Use and Privacy Policy . This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply. Thank you! For your security, we've sent a confirmation email to the address you entered. Click the link to confirm your subscription",12690,12063,50.0,0.372
" need to know right now. Please enter a valid email address. Sign Up Now Check the box if you do not wish to receive promotional offers via email from TIME. You can unsubscribe at any time. By signing up you are agreeing to our Terms of Use and Privacy Policy . This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply. Thank you! For your security, we've sent a confirmation email to the address you entered. Click the link to confirm",12691,12063,50.0,0.365
" top stories you need to know right now. Please enter a valid email address. Sign Up Now Check the box if you do not wish to receive promotional offers via email from TIME. You can unsubscribe at any time. By signing up you are agreeing to our Terms of Use and Privacy Policy . This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply. Thank you! For your security, we've sent a confirmation email to the address you entered. Click the",12697,12063,50.0,0.445
"

For Search feature please
to enable JavaScript or to put this site in Trusted Sites zone
in your browser

Parents please
protect your kids from accessing porn by simply using your browser's
surfing preferences.
All models appearing on this site are 18 years or older.
For 2257 related inquiries please contact each gallery site owner
individually.
We do not produce pornographic content ourselves. Reproduction of
our site design, as well as part or totality of our",12710,6051,50.0,0.397
"-

Special details {#specialdetails}
===============

  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Geometry. All e.s.d.\'s (except the e.s.d. in the dihedral angle between two l.s. planes) are estimated using the full covariance matrix. The cell e.s.d.\'s are taken into account individually in the estimation of e.s.d.\'s in distances,",12732,11259,50.0,0.647
" Nation’s journalism. You can read our Privacy Policy here. Sign up for Take Action Now and get three actions in your inbox every week.

Thank you for signing up. For more from The Nation, check out our latest issue

Subscribe now for as little as $2 a month!

Support Progressive Journalism The Nation is reader supported: Chip in $10 or more to help us continue to write about the issues that matter. The Nation is reader supported: Chip in $",12738,15631,50.0,0.533
"             NOT TO BE PUBLISHED IN OFFICIAL REPORTS
California Rules of Court, rule 8.1115(a), prohibits courts and parties from citing or relying on opinions not certified for
publication or ordered published, except as specified by rule 8.1115(b). This opinion has not been certified for publication
or ordered published for purposes of rule 8.1115.


      ",12747,12886,50.0,0.252
" and we’ll send you three meaningful actions you can take each week.

Thank you for signing up. For more from The Nation, check out our latest issue

Travel With The Nation Be the first to hear about Nation Travels destinations, and explore the world with kindred spirits. Be the first to hear about Nation Travels destinations, and explore the world with kindred spirits.

Sign up for our Wine Club today. Did you know you can support The Nation by drinking wine?
",12749,13843,50.0,0.898
"        NOT TO BE PUBLISHED IN OFFICIAL REPORTS
California Rules of Court, rule 8.1115(a), prohibits courts and parties from citing or relying on opinions not certified for
publication or ordered published, except as specified by rule 8.1115(b). This opinion has not been certified for publication
or ordered published for purposes of rule 8.1115.


           ",12757,12563,50.0,0.277
" continue to write about the issues that matter.

Fight Back! Sign up for Take Action Now and we’ll send you three meaningful actions you can take each week. You will receive occasional promotional offers for programs that support The Nation’s journalism. You can read our Privacy Policy here. Sign up for Take Action Now and we’ll send you three meaningful actions you can take each week.

Thank you for signing up. For more from The Nation, check out our",12766,15631,50.0,0.654
"         NOT TO BE PUBLISHED IN THE OFFICIAL REPORTS
California Rules of Court, rule 8.1115(a), prohibits courts and parties from citing or relying on opinions not certified for
publication or ordered published, except as specified by rule 8.1115(b). This opinion has not been certified for publication
or ordered published for purposes of rule 8.1115.


         ",12770,12472,50.0,0.251
" our latest issue

Subscribe now for as little as $2 a month!

Support Progressive Journalism The Nation is reader supported: Chip in $10 or more to help us continue to write about the issues that matter. The Nation is reader supported: Chip in $10 or more to help us continue to write about the issues that matter.

Fight Back! Sign up for Take Action Now and we’ll send you three meaningful actions you can take each week. You will receive occasional",12772,15631,50.0,0.688
"loc-peer-review-history)). If published, this will include your full peer review and any attached files.

If you choose ""no"", your identity will remain anonymous but your review may still be made public.

**Do you want your identity to be public for this peer review?** For information about this choice, including consent withdrawal, please see our [Privacy Policy](https://www.plos.org/privacy-policy).

Reviewer \#1:",12773,14634,50.0,0.7
" $10 or more to help us continue to write about the issues that matter.

Fight Back! Sign up for Take Action Now and we’ll send you three meaningful actions you can take each week. You will receive occasional promotional offers for programs that support The Nation’s journalism. You can read our Privacy Policy here. Sign up for Take Action Now and we’ll send you three meaningful actions you can take each week.

Thank you for signing up. For more",12774,15631,50.0,0.928
" every week.

Thank you for signing up. For more from The Nation, check out our latest issue

Subscribe now for as little as $2 a month!

Support Progressive Journalism The Nation is reader supported: Chip in $10 or more to help us continue to write about the issues that matter. The Nation is reader supported: Chip in $10 or more to help us continue to write about the issues that matter.

Fight Back! Sign up for Take Action Now and",12783,15631,50.0,0.6
" or more to help us continue to write about the issues that matter.

Fight Back! Sign up for Take Action Now and we’ll send you three meaningful actions you can take each week. You will receive occasional promotional offers for programs that support The Nation’s journalism. You can read our Privacy Policy here. Sign up for Take Action Now and we’ll send you three meaningful actions you can take each week.

Thank you for signing up. For more from The",12797,15631,50.0,0.793
" here. Sign up for Take Action Now and we’ll send you three meaningful actions you can take each week.

Thank you for signing up. For more from The Nation, check out our latest issue

Travel With The Nation Be the first to hear about Nation Travels destinations, and explore the world with kindred spirits. Be the first to hear about Nation Travels destinations, and explore the world with kindred spirits.

Sign up for our Wine Club today. Did you know you can",12798,15631,50.0,0.516
" here. Sign up for Take Action Now and get three actions in your inbox every week.

Thank you for signing up. For more from The Nation, check out our latest issue

Subscribe now for as little as $2 a month!

Support Progressive Journalism The Nation is reader supported: Chip in $10 or more to help us continue to write about the issues that matter. The Nation is reader supported: Chip in $10 or more to help us continue to write about the issues",12800,15631,50.0,0.368
" Sign up for Take Action Now and get three actions in your inbox every week. You will receive occasional promotional offers for programs that support The Nation’s journalism. You can read our Privacy Policy here. Sign up for Take Action Now and get three actions in your inbox every week.

Thank you for signing up. For more from The Nation, check out our latest issue

Subscribe now for as little as $2 a month!

Support Progressive Journalism The Nation is reader supported:",12808,15631,50.0,0.387
" Now and we’ll send you three meaningful actions you can take each week.

Thank you for signing up. For more from The Nation, check out our latest issue

Travel With The Nation Be the first to hear about Nation Travels destinations, and explore the world with kindred spirits. Be the first to hear about Nation Travels destinations, and explore the world with kindred spirits.

Sign up for our Wine Club today. Did you know you can support The Nation by drinking wine?",12811,15631,50.0,0.933
"                NOT TO BE PUBLISHED IN THE OFFICIAL REPORTS
California Rules of Court, rule 8.1115(a), prohibits courts and parties from citing or relying on opinions not certified for
publication or ordered published, except as specified by rule 8.1115(b). This opinion has not been certified for publication
or ordered published for purposes of rule 8.1115.


  ",12820,12224,50.0,0.257
"s journalism. You can read our Privacy Policy here. Sign up for Take Action Now and get three actions in your inbox every week.

Thank you for signing up. For more from The Nation, check out our latest issue

Subscribe now for as little as $2 a month!

Support Progressive Journalism The Nation is reader supported: Chip in $10 or more to help us continue to write about the issues that matter. The Nation is reader supported: Chip in $10 or more",12823,15631,50.0,0.582
" use third-party cookies that help us analyze and understand how you use this website. These cookies will be stored in your browser only with your consent. You also have the option to opt-out of these cookies. But opting out of some of these cookies may have an effect on your browsing experience.

Necessary cookies are absolutely essential for the website to function properly. This category only includes cookies that ensures basic functionalities and security features of the website. These cookies do not store any",12829,7050,50.0,0.629
"              NOT TO BE PUBLISHED IN OFFICIAL REPORTS
California Rules of Court, rule 8.1115(a), prohibits courts and parties from citing or relying on opinions not certified for
publication or ordered published, except as specified by rule 8.1115(b). This opinion has not been certified for publication
or ordered published for purposes of rule 8.1115.


     ",12842,12794,50.0,0.258
" to help us continue to write about the issues that matter.

Fight Back! Sign up for Take Action Now and we’ll send you three meaningful actions you can take each week. You will receive occasional promotional offers for programs that support The Nation’s journalism. You can read our Privacy Policy here. Sign up for Take Action Now and we’ll send you three meaningful actions you can take each week.

Thank you for signing up. For more from The Nation,",12850,15631,50.0,0.715
"               NOT TO BE PUBLISHED IN OFFICIAL REPORTS
California Rules of Court, rule 8.1115(a), prohibits courts and parties from citing or relying on opinions not certified for
publication or ordered published, except as specified by rule 8.1115(b). This opinion has not been certified for publication
or ordered published for purposes of rule 8.1115.


    ",12852,12798,50.0,0.25
"/s/editorial-and-peer-review-process#loc-peer-review-history)). If published, this will include your full peer review and any attached files.

If you choose ""no"", your identity will remain anonymous but your review may still be made public.

**Do you want your identity to be public for this peer review?** For information about this choice, including consent withdrawal, please see our [Privacy Policy](https://www.plos.",12868,16220,50.0,1.108
"The content published in Cureus is the result of clinical experience and/or research by independent individuals or organizations. Cureus is not responsible for the scientific accuracy or reliability of data or conclusions published herein. All content published within Cureus is intended only for educational, research and reference purposes. Additionally, articles published within Cureus should not be deemed a suitable substitute for the advice of a qualified health care professional. Do not disregard or avoid professional medical advice due to content published within Cureus.

Introduction",12871,17589,50.0,0.062
""" title=""Skip navigation links""></A>
<TABLE BORDER=""0"" WIDTH=""100%"" CELLPADDING=""1"" CELLSPACING=""0"" SUMMARY="""">
<TR>
<TD COLSPAN=2 BGCOLOR=""#EEEEFF"" CLASS=""NavBarCell1"">
<A NAME=""navbar_bottom_firstrow""><!-- --></A>
<TABLE BORDER=""0"" CE",12872,9648,50.0,0.408
" links""></A>
<TABLE BORDER=""0"" WIDTH=""100%"" CELLPADDING=""1"" CELLSPACING=""0"" SUMMARY="""">
<TR>
<TD COLSPAN=2 BGCOLOR=""#EEEEFF"" CLASS=""NavBarCell1"">
<A NAME=""navbar_bottom_firstrow""><!-- --></A>
<TABLE BORDER=""0"" CELLPADDING=""",12878,9648,50.0,0.359
"                      NOT TO BE PUBLISHED IN OFFICIAL REPORTS
California Rules of Court, rule 8.1115(a), prohibits courts and parties from citing or relying on opinions not certified for
publication or ordered published, except as specified by rule 8.1115(b). This opinion has not been certified for publication
or ordered published for purposes of rule 8.1115",12881,14907,50.0,0.241
" title=""Skip navigation links""></A>
<TABLE BORDER=""0"" WIDTH=""100%"" CELLPADDING=""1"" CELLSPACING=""0"" SUMMARY="""">
<TR>
<TD COLSPAN=2 BGCOLOR=""#EEEEFF"" CLASS=""NavBarCell1"">
<A NAME=""navbar_bottom_firstrow""><!-- --></A>
<TABLE BORDER=""0"" CELL",12883,9648,50.0,0.343
"0"" WIDTH=""100%"" CELLPADDING=""1"" CELLSPACING=""0"" SUMMARY="""">
<TR>
<TD COLSPAN=2 BGCOLOR=""#EEEEFF"" CLASS=""NavBarCell1"">
<A NAME=""navbar_bottom_firstrow""><!-- --></A>
<TABLE BORDER=""0"" CELLPADDING=""0"" CELLSPACING=""3"" SUM",12886,9892,50.0,0.331
"-review-process#loc-peer-review-history)). If published, this will include your full peer review and any attached files.

If you choose ""no"", your identity will remain anonymous but your review may still be made public.

**Do you want your identity to be public for this peer review?** For information about this choice, including consent withdrawal, please see our [Privacy Policy](https://www.plos.org/privacy-policy).

",12888,16214,50.0,1.015
"IDTH=""100%"" CELLPADDING=""1"" CELLSPACING=""0"" SUMMARY="""">
<TR>
<TD COLSPAN=2 BGCOLOR=""#EEEEFF"" CLASS=""NavBarCell1"">
<A NAME=""navbar_bottom_firstrow""><!-- --></A>
<TABLE BORDER=""0"" CELLPADDING=""0"" CELLSPACING=""3"" SUMMARY=""",12893,9892,50.0,0.34
"ial-and-peer-review-process#loc-peer-review-history)). If published, this will include your full peer review and any attached files.

If you choose ""no"", your identity will remain anonymous but your review may still be made public.

**Do you want your identity to be public for this peer review?** For information about this choice, including consent withdrawal, please see our [Privacy Policy](https://www.plos.org/privacy",12894,16220,50.0,0.852
""">
<li class=""blockList""><a name=""constructor.summary"">
<!--   -->
</a>
<h3>Constructor Summary</h3>
<table class=""memberSummary"" border=""0"" cellpadding=""3"" cellspacing=""0"" summary=""Constructor Summary table, listing constructors, and an explanation"">
<caption><span>Constructors</span><span class=""tabEnd"">&nbsp;</",12896,8625,50.0,0.168
"List"">
<li class=""blockList""><a name=""constructor.summary"">
<!--   -->
</a>
<h3>Constructor Summary</h3>
<table class=""memberSummary"" border=""0"" cellpadding=""3"" cellspacing=""0"" summary=""Constructor Summary table, listing constructors, and an explanation"">
<caption><span>Constructors</span><span class=""tabEnd"">&nbsp;",12897,8625,50.0,0.224
"SPACING=""0"" SUMMARY="""">
<TR>
<TD COLSPAN=2 BGCOLOR=""#EEEEFF"" CLASS=""NavBarCell1"">
<A NAME=""navbar_bottom_firstrow""><!-- --></A>
<TABLE BORDER=""0"" CELLPADDING=""0"" CELLSPACING=""3"" SUMMARY="""">
  <TR ALIGN=""center"" VALIGN=""top"">",12900,9892,50.0,0.331
" Postmedia to use my account information to create my account.

I also accept and agree to be bound by Postmedia's Terms and Conditions with respect to my use of the Site and I have read and understand Postmedia's Privacy Statement. I consent to the collection, use, maintenance, and disclosure of my information in accordance with the Postmedia's Privacy Policy.

Postmedia wants to improve your reading experience as well as share the best deals and promotions from our advertisers with you. The",12901,9289,50.0,0.933
" permission to Postmedia to use my account information to create my account.

I also accept and agree to be bound by Postmedia's Terms and Conditions with respect to my use of the Site and I have read and understand Postmedia's Privacy Statement. I consent to the collection, use, maintenance, and disclosure of my information in accordance with the Postmedia's Privacy Policy.

Postmedia wants to improve your reading experience as well as share the best deals and promotions from our advertisers with you",12903,9289,50.0,0.773
"=""blockList"">
<li class=""blockList""><a name=""constructor.summary"">
<!--   -->
</a>
<h3>Constructor Summary</h3>
<table class=""memberSummary"" border=""0"" cellpadding=""3"" cellspacing=""0"" summary=""Constructor Summary table, listing constructors, and an explanation"">
<caption><span>Constructors</span><span class=""tabEnd"">&n",12906,8625,50.0,0.242
""" SUMMARY="""">
<TR>
<TD COLSPAN=2 BGCOLOR=""#EEEEFF"" CLASS=""NavBarCell1"">
<A NAME=""navbar_bottom_firstrow""><!-- --></A>
<TABLE BORDER=""0"" CELLPADDING=""0"" CELLSPACING=""3"" SUMMARY="""">
  <TR ALIGN=""center"" VALIGN=""top"">
  <TD B",12921,9892,50.0,0.375
